# HotWire artifact -- Attack A2 (forced PreCharge / V2L) sustained-discharge evidence
# Vehicle: LUXGEN N7 (production unit, lab bench).
# Source: decoded from the recorded DIN 70121 trace of the full sustained-discharge session.
# Duration: ~100 minutes of continuous CurrentDemand activity (supports the >=60 min / ~1.25 kWh claim in Sec. 6).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. This file contains
#          only protocol-reported electrical fields and relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
#       EVSEPresentCurrent is a fixed protocol value emitted by the rogue EVSE, not a measured current.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
25.012,0,200,
25.068,,,413.6
25.132,0,200,
25.168,,,413.6
25.256,0,200,
25.369,,,413.6
25.448,0,200,
25.568,,,413.6
25.644,0,200,
25.768,,,413.6
25.844,0,200,
25.969,,,413.6
26.029,0,200,
26.067,,,413.6
26.126,0,200,
26.168,,,413.6
26.252,0,200,
26.368,,,413.6
26.455,0,200,
26.569,,,413.6
26.669,0,200,
26.768,,,413.6
26.838,0,200,
26.968,,,413.6
27.036,0,200,
27.168,,,413.6
27.234,0,200,
27.368,,,413.6
27.413,0,200,
27.470,,,413.6
27.542,0,200,
27.670,,,413.6
27.745,0,200,
27.803,,,413.6
27.845,0,200,
27.971,,,413.6
28.064,0,200,
28.168,,,413.6
28.266,0,200,
28.368,,,413.6
28.432,0,200,
28.504,,,413.6
28.576,0,200,
28.670,,,413.6
28.765,0,200,
28.870,,,413.6
28.965,0,200,
29.069,,,413.6
29.132,0,200,
29.203,,,413.6
29.264,0,200,
29.303,,,413.6
29.367,0,200,
29.407,,,413.6
29.493,0,200,
29.601,,,413.6
29.684,0,200,
29.767,,,413.6
29.835,0,200,
29.970,,,413.6
30.036,0,200,
30.169,,,413.6
30.239,0,200,
30.368,,,413.6
30.409,0,200,
30.468,,,413.6
30.527,0,200,
30.568,,,413.6
30.636,0,200,
30.768,,,413.6
30.817,0,200,
30.867,,,413.6
30.915,0,200,
30.970,,,413.6
31.045,0,200,
31.170,,,413.6
31.312,0,200,
31.368,,,413.6
31.406,0,200,
31.471,,,413.6
31.533,0,200,
31.701,,,413.6
31.779,0,200,
31.869,,,413.6
31.914,0,200,
31.968,,,413.6
32.020,0,200,
32.069,,,413.6
32.126,0,200,
32.168,,,413.6
32.230,0,200,
32.369,,,413.6
32.421,0,200,
32.471,,,413.6
32.535,0,200,
32.667,,,413.6
32.739,0,200,
32.868,,,413.6
32.924,0,200,
32.968,,,413.6
33.029,0,200,
33.101,,,413.6
33.163,0,200,
33.269,,,413.6
33.354,0,200,
33.469,,,413.6
33.560,0,200,
33.669,,,413.6
33.747,0,200,
33.871,,,413.6
33.955,0,200,
34.069,,,413.6
34.154,0,200,
34.270,,,413.6
34.342,0,200,
34.480,,,413.6
34.549,0,200,
34.670,,,413.6
34.717,0,200,
34.767,,,413.6
34.833,0,200,
34.968,,,413.6
35.029,0,200,
35.167,,,413.6
35.229,0,200,
35.270,,,413.6
35.320,0,200,
35.403,,,413.6
35.475,0,200,
35.603,,,413.6
35.670,0,200,
35.802,,,413.6
35.869,0,200,
36.001,,,413.6
36.057,0,200,
36.105,,,413.6
36.166,0,200,
36.204,,,413.6
36.253,0,200,
36.369,,,413.6
36.458,0,200,
36.506,,,413.6
36.565,0,200,
36.670,,,413.6
36.732,0,200,
36.803,,,413.6
36.862,0,200,
36.904,,,413.6
36.986,0,200,
37.070,,,413.6
37.129,0,200,
37.268,,,413.6
37.309,0,200,
37.368,,,413.6
37.415,0,200,
37.502,,,413.6
37.546,0,200,
37.703,,,413.6
37.761,0,200,
37.870,,,413.6
37.954,0,200,
38.070,,,413.6
38.149,0,200,
38.268,,,413.6
38.340,0,200,
38.468,,,413.6
38.527,0,200,
38.668,,,413.6
38.733,0,200,
38.867,,,413.6
38.921,0,200,
38.972,,,413.6
39.025,0,200,
39.067,,,413.6
39.106,0,200,
39.167,,,413.6
39.226,0,200,
39.267,,,413.6
39.316,0,200,
39.368,,,413.6
39.430,0,200,
39.467,,,413.6
39.574,0,200,
39.667,,,413.6
39.731,0,200,
39.869,,,413.6
39.935,0,200,
40.104,,,413.6
40.158,0,200,
40.269,,,413.6
40.338,0,200,
40.469,,,413.6
40.564,0,200,
40.668,,,413.6
40.779,0,200,
40.870,,,413.6
40.931,0,200,
41.067,,,413.6
41.110,0,200,
41.168,,,413.6
41.238,0,200,
41.370,,,413.6
41.438,0,200,
41.568,,,413.6
41.614,0,200,
